"记录ID","机型","计划生产时间","维修日期时间","主机条码","序列号","销售订单","生产订单","NG工站","涉及部件","物料号","物料描述","故障描述","错误码","错误码描述","缺陷责任分类","维修人员","维修备注","替换前原厂码","替换后原厂码","替换前曙光码","替换后曙光码","复判问题描述"
"1c22fa328e054f4c9c3bc4f38ce2709d:2448","6210 C21","2026-08-02","2026-08-05T16:40:30Z","6102192404503179","","0100001936","000030232865","TXM-OP205:初检前测","CPU","","","CPU1 MCE报错 交叉CPU验证","","Test Failure","疑似接触不良问题","张义松","CPU1 MCE报错 交叉CPU验证","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2450","6210 C21","2026-08-02","2026-08-05T23:23:38Z","6102192404503231","","0100001936","000030232865","TXM-OP210:老化测试","CPU","","","CPU0 CE报错，重插CPU0","","Test Failure","疑似接触不良问题","吴伊彬","CPU0 CE报错，重插CPU0","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2446","6210 C21","2026-08-02","2026-08-04T18:46:20Z","6102192404503129","","0100001936","000030232858","TXM-OP205:初检前测","OCP线缆","","","交叉OCP线缆 跟着走 更换OCP线缆","","TaskID 275 not found in task_mapping.json,kip this task","物料问题","张义松","交叉OCP线缆 跟着走 更换OCP线缆","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2447","6210 C21","2026-08-02","2026-08-04T13:43:00Z","6102192404503179","","0100001936","000030232865","TXM-OP205:初检前测","CPU","","","CPU1 MCE 重组CPU1","","Test Failure","疑似接触不良问题","刘才来","CPU1 MCE 重组CPU1","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2439","6210 C21","2026-08-02","2026-08-04T13:41:41Z","6102192404503031","B500002660482251","0100001936","000030232858","TXM-OP205:初检前测","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","丢P1_C7_D1:0x43,0x01 重插无效 交叉跟着走","","TaskID 275 not found in task_mapping.json,kip this task","物料问题","刘才来","丢P1_C7_D1:0x43,0x01 重插无效 交叉跟着走 更换P0_C7_D1","8A91502606B020C62F","8A91502607B0215363","B500002660482251","B500002660482806",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2452","6210 C21","2026-08-02","2026-08-04T13:40:53Z","6102192404503263","B500002660473111","0100001936","000030232865","TXM-OP210:老化测试","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","更换P0-C1-D0","","TaskID 1824 not found in task_mapping.json,kip this task","物料问题","刘才来","更换P0-C1-D0","8A91502606B0024CFA","8A91502607B0215364","B500002660473111","B500002660482808",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2442","6210 C21","2026-08-02","2026-08-04T22:41:36Z","6102192404503095","","0100001936","000030232858","TXM-OP210:老化测试","CPU","","","CPU1 CE报错，重插CPU1","","TaskID 1499 not found in task_mapping.json,kip this task","疑似接触不良问题","吴伊彬","CPU1 CE报错，重插CPU1","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2440","6210 C21","2026-08-02","2026-08-03T07:57:22Z","6102192404503076","","0100001936","000030232858","TXM-OP205:初检前测","内存","","","重插P0_C2_D0/D1:0x31,0x13","","null 11 L3 Cache Size 34304 Aug 2 212205 bytedancehostv13 satsclient srchigdmicpp 0281assignvaluecachesize Cache Information011 L1 Cache Size 3840 Aug 2 212205 bytedancehostv13 satsclient srchigdmicpp","疑似接触不良问题","吴伊彬","重插P0_C2_D0/D1:0x31,0x13","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2441","6210 C21","2026-08-02","2026-08-03T22:26:17Z","6102192404503076","B500002660495234","0100001936","000030232858","TXM-OP205:初检前测","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","重插内存无效，交叉内存跟着走，更换当前P1-C2-D1","","TaskID 275 not found in task_mapping.json,kip this task","物料问题","吴伊彬","重插内存无效，交叉内存跟着走，更换当前P1-C2-D1","8A91502608B020A978","8A91502607B0215365","B500002660495234","B500002660482809",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2438","6210 C21","2026-08-02","2026-08-03T22:22:52Z","6102192404503006","2400482560001954","0100001936","000030232858","TXM-OP205:初检前测","主板","000000000024004825","YICHUN_60EA32-BD C01 主板(B02 IFX_PFR-HD）","重插ocp线缆无效
交叉CPU无效，更换主板","","TaskID 275 not found in task_mapping.json,kip this task","物料问题","何向丰","重插ocp线缆无效
交叉CPU无效，更换主板","S123335261200904","S123335261201691","2400482560001954","2400482560002741",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2437","6210 C21","2026-08-02","2026-08-02T19:14:02Z","6102192404502981","B500002660494017","0100001936","000030232858","TXM-OP210:老化测试","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","更换P0-C1-D0","","null n Builtin FRU Device ID 0 Chassis Type Rack Mount Chassis Chassis Part Number xxxx Chassis Serial null FRU FRU Device Description Builtin FRU Device ID 0 Chassis Type Rack Mount Chassis Chassis P","物料问题","张义松","更换P0-C1-D0","8A91502605B0207190","8A91502607B0215520","B500002660494017","B500002660482813",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2436","6210 C21","2026-08-02","2026-08-02T19:13:11Z","6102192404502979","B500002660493865","0100001936","000030232858","TXM-OP210:老化测试","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","更换P1-C2-D0","","null dancehostv13 datsindex srcWhitneycpp 0040postValidityStatistics post validity statistics url curl H ContentType applicationjson X POST d elapsedTime0endTime20260802 152709packageNameM5621I9DD2OPp","物料问题","张义松","更换P1-C2-D0","8A91502605B020F7F0","8A91502607B021551F","B500002660493865","B500002660482812",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2430","6210 C21","2026-08-01","2026-08-06T11:57:44Z","6102192404501777","B620000472749891","0100001936","000030232860","TXM-OP215:综检后测","CPU","B6200004","Intel 8457C 2.6G 97.5M 48C 350W LJS(B02)","交叉跟着CPU走，更换当前CPU1","","Test Failure","物料问题","刘才来","交叉跟着CPU走，更换当前CPU1","M6333RQ700529","45352V1U00560","B620000472749891","B620000472756956",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2424","6210 C21","2026-08-01","2026-08-05T23:23:06Z","6102192404501710","","0100001936","000030232860","TXM-OP210:老化测试","CPU","","","CPU0 CE报错，交叉CPU验证","","","疑似接触不良问题","吴伊彬","CPU0 CE报错，交叉CPU验证","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2426","6210 C21","2026-08-01","2026-08-05T18:41:27Z","6102192404501719","B240013560000803","0100001936","000030232860","TXM-OP215:综检后测","DPU智能网卡","B2400135","武功山WGS5342210-C 双口100G O3L DSFP 智能网卡B02","产品指导更换DPU智能网卡","","Test Failure","物料问题","刘才来","产品指导更换DPU智能网卡","EM64E000NQ40013","EM655000K040013","B240013560000803","B240013560000201",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2434","6210 C21","2026-08-01","2026-08-05T18:40:05Z","6102192404501840","B240013560000669","0100001936","000030232866","TXM-OP215:综检后测","DPU智能网卡","B2400135","武功山WGS5342210-C 双口100G O3L DSFP 智能网卡B02","产品指导更换DPU智能网卡","","Test Failure","物料问题","刘才来","产品指导更换DPU智能网卡","EM655001JJ40013","EM64F000WK40013","B240013560000669","B240013560000202",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2431","6210 C21","2026-08-01","2026-08-03T22:13:40Z","6102192404501810","","0100001936","000030232866","TXM-OP210:老化测试","DPU智能网卡","","","DPU M,2无温度,重插网卡","","TaskID 448 not found in task_mapping.json,kip this task","疑似接触不良问题","何向丰","DPU M,2无温度,重插网卡","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2423","6210 C21","2026-08-01","2026-08-02T13:04:03Z","6102192404501710","B500002660475957","0100001936","000030232860","TXM-OP200:老化初检","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","更换P1-C6-D0","","","物料问题","张义松","更换P1-C6-D0","8A91502608B020A77B","8A91502607B02155C9","B500002660475957","B500002660482816","内存Correctable ECC，外观无异常"
"1c22fa328e054f4c9c3bc4f38ce2709d:2433","6210 C21","2026-08-01","2026-08-02T16:28:57Z","6102192404501821","2400482560002807","0100001936","000030232866","TXM-OP205:初检前测","主板","000000000024004825","YICHUN_60EA32-BD C01 主板(B02 IFX_PFR-HD）","交叉重插线缆网卡无效 ，更换主板","","null 11 L3 Cache Size 34304 Aug 2 125249 bytedancehostv13 satsclient srchigdmicpp 0281assignvaluecachesize Cache Information011 L1 Cache Size 3840 Aug 2 125249 bytedancehostv13 satsclient srchigdmicpp","物料问题","张义松","交叉重插线缆网卡无效 ，更换主板","S123335261201757","S123335261201692","2400482560002807","2400482560002742",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2425","6210 C21","2026-08-01","2026-08-02T13:07:37Z","6102192404501716","24004390AHV03611","0100001936","000030232860","TXM-OP205:初检前测","主板","000000000024004390","YICHUN_60EA32-BD C01 主板(B02 IFX_PFR-SCC)","主板上电异常，最简化验证，单CPU加内存验证无效，更换主板","","Test Failure","物料问题","张义松","主板上电异常，最简化验证，单CPU加内存验证无效，更换主板","S121470260200161","S121470260400128","24004390AHV03611","24004390AHV04078",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2427","6210 C21","2026-08-01","2026-08-02T13:05:20Z","6102192404501753","","0100001936","000030232860","TXM-OP210:老化测试","硬盘","","","重插NVME1","","null 20260802 034800 mainBlackListTest INFO line48 Run Cmd ipmitool fru print 0 20260802 034800 mainBlackListTest INFO line54 Return 0 20260802 034800 mainBlackListTest INFO line59 output Chassis Type","疑似接触不良问题","张义松","重插NVME1","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2435","6210 C21","2026-08-01","2026-08-02T13:03:08Z","6102192404501895","B500002660495453","0100001936","000030232861","TXM-OP210:老化测试","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","更换P0-C5-D1","","null elect0x5 retryrderrlog00008000 00000000 0000000000000000 00000000 00000000 0000000000000000 correrrcnt0000 0000 0000 0000 0000 0000 0000 0000Sun Aug 2 084003 2026 EDAC MC2 1 CE memory read error","物料问题","张义松","更换P0-C5-D1","8A91502608B0212676","8A91502607B02152C7","B500002660495453","B500002660482815",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2428","6210 C21","2026-08-01","2026-08-02T06:55:26Z","6102192404501777","B500002660496411","0100001936","000030232860","TXM-OP210:老化测试","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","更换P0-C0-D1","","null elect0x6 retryrderrlog00008000 00000000 0000000000000000 00000000 00000000 0000000000000000 correrrcnt0000 0000 0000 0000 0000 0000 0000 0000Sat Aug 1 194410 2026 EDAC MC0 1 CE memory read error","物料问题","刘才来","更换P0-C0-D1","8A91502605B020FA81","8A91502607B02153BB","B500002660496411","B500002660482817","内存Correctable Error，外观无异常"
"1c22fa328e054f4c9c3bc4f38ce2709d:2429","6210 C21","2026-08-01","2026-08-02T14:16:13Z","6102192404501777","","0100001936","000030232860","TXM-OP210:老化测试","CPU","","","交叉CPU验证","","null dancehostv13 datsindex srcWhitneycpp 0040postValidityStatistics post validity statistics url curl H ContentType applicationjson X POST d elapsedTime0endTime20260802 103233packageNameM5621I9DD2OPp","疑似接触不良问题","张义松","交叉CPU验证","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2422","6210 C21","2026-08-01","2026-08-01T23:41:22Z","6102192404501710","","0100001936","000030232860","TXM-OP210:老化测试","CPU","","","重组CPU0","","Test Failure","疑似接触不良问题","刘才来","重组CPU0","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2432","6210 C21","2026-08-01","2026-08-01T23:36:05Z","6102192404501821","","0100001936","000030232866","TXM-OP205:初检前测","OCP线缆","","","重插OCP线缆","","null 11 L3 Cache Size 34304 Aug 1 174240 bytedancehostv13 satsclient srchigdmicpp 0281assignvaluecachesize Cache Information011 L1 Cache Size 3840 Aug 1 174240 bytedancehostv13 satsclient srchigdmicpp","疑似接触不良问题","刘才来","重插OCP线缆","","","","",""
